data-N3tA5 (1)
State,Reported protected or separated bike lane(s) on state-controlled roadway(s)
Alabama,None
Alaska,None
Arizona,Multiple Locations
Arkansas,None
California,Multiple Locations
Colorado,Multiple Locations
Connecticut,Multiple Locations
Delaware,Multiple Locations
Florida,Multiple Locations
Georgia,Not reported
Hawaii,One Location
Idaho,None
Illinois,Not reported
Indiana,Multiple Locations
Iowa,None
Kansas,Multiple Locations
Kentucky,Multiple Locations
Louisiana,None
Maine,Not reported
Maryland,One Location
Massachusetts,Multiple Locations
Michigan,Multiple Locations
Minnesota,Multiple Locations
Mississippi,None
Missouri,Multiple Locations
Montana,Multiple Locations
Nebraska,None
Nevada,Multiple Locations
New Hampshire,None
New Jersey,Multiple Locations
New Mexico,None
New York,Multiple Locations
North Carolina,Multiple Locations
North Dakota,One Location
Ohio,None
Oklahoma,None
Oregon,Multiple Locations
Pennsylvania,Multiple Locations
Rhode Island,Multiple Locations
South Carolina,None
South Dakota,Multiple Locations
Tennessee,Multiple Locations
Texas,One Location
Utah,Multiple Locations
Vermont,Not reported
Virginia,Multiple Locations
Washington,None
West Virginia,Multiple Locations
Wisconsin,None
Wyoming,None
