State,Commuters_Who_Bike
Alabama,0.0007
Alaska,0.0038
Arizona,0.005
Arkansas,0.0012
California,0.0074
Colorado,0.0099
Connecticut,0.0016
Delaware,0.0039
Florida,0.0048
Georgia,0.0015
Hawaii,0.0086
Idaho,0.0074
Illinois,0.0057
Indiana,0.0042
Iowa,0.0039
Kansas,0.0029
Kentucky,0.0013
Louisiana,0.0027
Maine,0.0047
Maryland,0.0028
Massachusetts,0.008
Michigan,0.0036
Minnesota,0.0048
Mississippi,0.0007
Missouri,0.0018
Montana,0.0096
Nebraska,0.0028
Nevada,0.0033
New Hampshire,0.0025
New Jersey,0.0031
New Mexico,0.0048
New York,0.0085
North Carolina,0.0016
North Dakota,0.0028
Ohio,0.0029
Oklahoma,0.002
Oregon,0.0126
Pennsylvania,0.0052
Rhode Island,0.0042
South Carolina,0.0024
South Dakota,0.0022
Tennessee,0.0012
Texas,0.002
Utah,0.0051
Vermont,0.007
Virginia,0.0031
Washington,0.0061
West Virginia,0.0006
Wisconsin,0.0049
Wyoming,0.0094
