data-v9cTB (3)
State,Percent of Commuters Biking and Walking,Commuters Who Walk,Commuters Who Bike
Alabama,1.23%,1.16%,0.07%
Alaska,7.65%,7.27%,0.38%
Arizona,2.22%,1.72%,0.50%
Arkansas,1.67%,1.55%,0.12%
California,3.15%,2.41%,0.74%
Colorado,3.53%,2.53%,0.99%
Connecticut,2.91%,2.75%,0.16%
Delaware,2.48%,2.09%,0.39%
Florida,1.84%,1.37%,0.48%
Georgia,1.47%,1.32%,0.15%
Hawaii,5.40%,4.53%,0.86%
Idaho,3.67%,2.93%,0.74%
Illinois,3.20%,2.63%,0.57%
Indiana,2.36%,1.94%,0.42%
Iowa,3.29%,2.90%,0.39%
Kansas,2.53%,2.25%,0.29%
Kentucky,2.00%,1.87%,0.13%
Louisiana,2.42%,2.14%,0.27%
Maine,4.23%,3.76%,0.47%
Maryland,2.11%,1.83%,0.28%
Massachusetts,4.81%,4.01%,0.80%
Michigan,2.39%,2.03%,0.36%
Minnesota,3.04%,2.56%,0.48%
Mississippi,1.56%,1.49%,0.07%
Missouri,1.82%,1.64%,0.18%
Montana,5.31%,4.36%,0.96%
Nebraska,2.55%,2.27%,0.28%
Nevada,1.74%,1.42%,0.33%
New Hampshire,2.39%,2.14%,0.25%
New Jersey,3.32%,3.01%,0.31%
New Mexico,2.64%,2.17%,0.48%
New York,6.44%,5.59%,0.85%
North Carolina,1.80%,1.64%,0.16%
North Dakota,3.70%,3.42%,0.28%
Ohio,2.24%,1.95%,0.29%
Oklahoma,1.94%,1.74%,0.20%
Oregon,4.86%,3.60%,1.26%
Pennsylvania,3.71%,3.20%,0.52%
Rhode Island,3.32%,2.90%,0.42%
South Carolina,1.80%,1.56%,0.24%
South Dakota,2.76%,2.54%,0.22%
Tennessee,1.32%,1.19%,0.12%
Texas,1.70%,1.49%,0.20%
Utah,2.36%,1.85%,0.51%
Vermont,4.90%,4.20%,0.70%
Virginia,2.46%,2.15%,0.31%
Washington,3.74%,3.14%,0.61%
West Virginia,2.42%,2.36%,0.06%
Wisconsin,3.19%,2.71%,0.49%
Wyoming,4.40%,3.47%,0.94%
