State,Number_of_Rail_Trails
Alabama,26
Alaska,5
Arizona,13
Arkansas,22
California,132
Colorado,43
Connecticut,28
Delaware,12
Florida,59
Georgia,31
Hawaii,4
Idaho,23
Illinois,83
Indiana,74
Iowa,96
Kansas,24
Kentucky,18
Louisiana,7
Maine,34
Maryland,38
Massachusetts,73
Michigan,132
Minnesota,83
Mississippi,17
Missouri,24
Montana,21
Nebraska,26
Nevada,6
New Hampshire,76
New Jersey,54
New Mexico,9
New York,118
North Carolina,32
North Dakota,5
Ohio,110
Oklahoma,11
Oregon,24
Pennsylvania,194
Rhode Island,10
South Carolina,28
South Dakota,11
Tennessee,34
Texas,38
Utah,18
Vermont,18
Virginia,49
Washington,85
West Virginia,68
Wisconsin,101
Wyoming,5
