State,Miles of Rail Trails
Alabama,97
Alaska,47
Arizona,73
Arkansas,100
California,1079
Colorado,325
Connecticut,221
Delaware,48
Florida,826
Georgia,204
Hawaii,19
Idaho,427
Illinois,1037
Indiana,489
Iowa,920
Kansas,296
Kentucky,63
Louisiana,135
Maine,399
Maryland,347
Massachusetts,410
Michigan,2478
Minnesota,2168
Mississippi,117
Missouri,451
Montana,261
Nebraska,432
Nevada,100
New Hampshire,562
New Jersey,334
New Mexico,33
New York,1253
North Carolina,125
North Dakota,36
Ohio,1038
Oklahoma,56
Oregon,312
Pennsylvania,2136
Rhode Island,78
South Carolina,147
South Dakota,178
Tennessee,140
Texas,320
Utah,169
Vermont,130
Virginia,426
Washington,1122
West Virginia,572
Wisconsin,1903
Wyoming,53
