State,Number_of_Rail_Trails,Miles_of_Rail_Trails,Miles_of_Potential_Rail_Trails
Alabama,26,97,174
Alaska,5,47,247
Arizona,13,73,13
Arkansas,22,100,240
California,132,1079,801
Colorado,43,325,140
Connecticut,28,221,89
Delaware,12,48,10
Florida,59,826,440
Georgia,31,204,95
Hawaii,4,19,60
Idaho,23,427,69
Illinois,83,1037,213
Indiana,74,489,337
Iowa,96,920,249
Kansas,24,296,158
Kentucky,18,63,201
Louisiana,7,135,23
Maine,34,399,82
Maryland,38,347,192
Massachusetts,73,410,332
Michigan,132,2478,217
Minnesota,83,2168,184
Mississippi,17,117,27
Missouri,24,451,409
Montana,21,261,126
Nebraska,26,432,124
Nevada,6,100,2
New Hampshire,76,562,280
New Jersey,54,334,150
New Mexico,9,33,47
New York,118,1253,712
North Carolina,32,125,161
North Dakota,5,36,0
Ohio,110,1038,288
Oklahoma,11,56,6
Oregon,24,312,182
Pennsylvania,194,2136,706
Rhode Island,10,78,49
South Carolina,28,147,56
South Dakota,11,178,100
Tennessee,34,140,85
Texas,38,320,185
Utah,18,169,2
Vermont,18,130,81
Virginia,49,426,132
Washington,85,1122,246
West Virginia,68,572,148
Wisconsin,101,1903,194
Wyoming,5,53,19
