State,Miles of Potential Rail Trails
Alabama,174
Alaska,247
Arizona,13
Arkansas,240
California,801
Colorado,140
Connecticut,89
Delaware,10
Florida,440
Georgia,95
Hawaii,60
Idaho,69
Illinois,213
Indiana,337
Iowa,249
Kansas,158
Kentucky,201
Louisiana,23
Maine,82
Maryland,192
Massachusetts,332
Michigan,217
Minnesota,184
Mississippi,27
Missouri,409
Montana,126
Nebraska,124
Nevada,2
New Hampshire,280
New Jersey,150
New Mexico,47
New York,712
North Carolina,161
North Dakota,0
Ohio,288
Oklahoma,6
Oregon,182
Pennsylvania,706
Rhode Island,49
South Carolina,56
South Dakota,100
Tennessee,85
Texas,185
Utah,2
Vermont,81
Virginia,132
Washington,246
West Virginia,148
Wisconsin,194
Wyoming,19
